customer_id,date,transaction_amount,plan_type,issuing_date,transaction_amount,churn,plan_type_Premium,plan_type_Standard,customer_time_period,transaction_weekday,quarter,stock_return,stock_volatility
0.0,0.0,193.524658235208,0.0,33.0,193.524658235208,0,False,False,671,6,1,0.0008088380082443534,836.7852579604595
0.0,1.0,303.342657256548,2.0,33.0,303.342657256548,0,False,True,702,2,1,-0.026673618173162605,836.7852579604595
0.0,2.0,38.46096996241769,2.0,33.0,38.46096996241769,0,False,True,730,2,1,-0.014048070632439846,836.7852579604595
0.0,3.0,356.955563120062,1.0,33.0,356.955563120062,0,True,False,761,5,2,0.007698864182471343,836.7852579604595
0.0,4.0,417.896893992207,2.0,33.0,417.896893992207,0,False,True,791,0,2,0.023335511592469826,836.7852579604595
0.0,5.0,254.5308243632485,1.0,33.0,255.305891354505,0,True,False,822,3,2,0.03390158607033644,836.7852579604595
0.0,6.0,221.653059134637,2.0,33.0,221.653059134637,0,False,True,852,5,3,0.030271512217592944,613.8247547715936
0.0,7.0,78.3519917195005,2.0,33.0,78.3519917195005,0,False,True,883,1,3,0.012516262802746647,791.0185442508645
0.0,8.0,233.474292266348,1.0,33.0,233.474292266348,0,True,False,914,4,3,0.007719516190491715,873.8554367938956
0.0,9.0,261.97487482267,2.0,33.0,261.97487482267,1,False,True,944,6,4,-0.011496134340694408,766.338015262572
0.0,10.0,307.696977431705,0.0,33.0,307.696977431705,1,False,False,975,2,4,0.015168601086379851,592.2893963515108
0.0,11.0,41.875280562787,0.0,33.0,41.875280562787,1,False,False,1005,4,4,0.03556605330897278,518.3818761782062
12.0,0.0,483.159696206534,1.0,2.0,483.159696206534,0,True,False,1767,6,1,-0.10531526927910595,640.2936541815463
12.0,1.0,57.859335863128095,2.0,2.0,57.859335863128095,0,False,True,1798,2,1,-0.026673618173162605,904.2542611119592
12.0,2.0,69.7987350739416,1.0,2.0,69.7987350739416,1,True,False,1826,2,1,-0.014048070632439846,1097.3469287720636
12.0,3.0,455.566997018603,1.0,2.0,455.566997018603,1,True,False,1857,5,2,0.007698864182471343,1147.0915786931278
12.0,4.0,334.635919333451,1.0,2.0,334.635919333451,1,True,False,1887,0,2,0.023335511592469826,1115.701795872945
12.0,5.0,264.833330377127,1.0,2.0,264.833330377127,1,True,False,1918,3,2,0.03390158607033644,989.7642626234485
12.0,6.0,100.578683207508,0.0,2.0,100.578683207508,1,False,False,1948,5,3,0.030271512217592944,613.824754771572
12.0,7.0,389.815083446946,2.0,2.0,389.815083446946,1,False,True,1979,1,3,0.012516262802746647,791.0185442508507
12.0,8.0,448.465401709548,1.0,2.0,448.465401709548,1,True,False,2010,4,3,0.007719516190491715,873.8554367938863
12.0,9.0,461.7183751613271,0.0,2.0,461.7183751613271,1,False,False,2040,6,4,-0.011496134340694408,766.338015262564
12.0,10.0,106.031602585381,0.0,2.0,106.031602585381,1,False,False,2071,2,4,0.015168601086379851,592.2893963515024
12.0,11.0,169.411862074,1.0,2.0,169.411862074,1,True,False,2101,4,4,0.03556605330897278,518.3818761781991
23.0,0.0,142.961025569209,2.0,28.0,142.961025569209,0,False,True,852,6,1,-0.10531526927910595,640.2936541815402
23.0,1.0,147.657909746817,1.0,28.0,147.657909746817,0,True,False,883,2,1,-0.026673618173162605,904.2542611119545
23.0,2.0,403.07652056947904,0.0,28.0,403.07652056947904,0,False,False,911,2,1,-0.014048070632439846,1097.3469287720598
23.0,3.0,388.399936955362,0.0,28.0,388.399936955362,1,False,False,942,5,2,0.007698864182471343,1147.0915786931241
23.0,4.0,409.576099942869,0.0,28.0,409.576099942869,1,False,False,972,0,2,0.023335511592469826,1115.7017958729411
23.0,5.0,367.213512340084,1.0,28.0,367.213512340084,1,True,False,1003,3,2,0.03390158607033644,989.7642626234441
23.0,6.0,46.28187934970431,0.0,28.0,46.28187934970431,1,False,False,1033,5,3,0.030271512217592944,613.8247547715649
23.0,7.0,66.7758391673136,1.0,28.0,66.7758391673136,1,True,False,1064,1,3,0.012516262802746647,791.0185442508453
23.0,8.0,315.416082145503,0.0,28.0,315.416082145503,1,False,False,1095,4,3,0.007719516190491715,873.8554367938814
23.0,9.0,41.1435916401516,0.0,28.0,41.1435916401516,1,False,False,1125,6,4,-0.011496134340694408,766.3380152625583
23.0,10.0,169.339827793106,0.0,28.0,169.339827793106,1,False,False,1156,2,4,0.015168601086379851,592.289396351495
23.0,11.0,322.403160964054,2.0,28.0,322.403160964054,1,False,True,1186,4,4,0.03556605330897278,518.3818761781907
34.0,0.0,241.385313329355,2.0,33.0,241.385313329355,0,False,True,671,6,1,-0.10531526927910595,640.2936541815334
34.0,1.0,382.78467382228,1.0,33.0,382.78467382228,0,True,False,702,2,1,-0.026673618173162605,904.2542611119497
34.0,2.0,251.959842218551,2.0,33.0,251.959842218551,0,False,True,730,2,1,-0.014048070632439846,1097.3469287720557
34.0,3.0,22.4553721046066,0.0,33.0,22.4553721046066,1,False,False,761,5,2,0.007698864182471343,1147.0915786931203
34.0,4.0,321.841101519252,1.0,33.0,321.841101519252,1,True,False,791,0,2,0.023335511592469826,1115.7017958729373
34.0,5.0,259.199638670704,0.0,33.0,259.199638670704,1,False,False,822,3,2,0.03390158607033644,989.7642626234397
34.0,6.0,132.153192282949,0.0,33.0,132.153192282949,1,False,False,852,5,3,0.030271512217592944,613.8247547715579
34.0,7.0,380.220057886094,1.0,33.0,380.220057886094,1,True,False,883,1,3,0.012516262802746647,791.0185442508397
34.0,8.0,47.7201558161086,0.0,33.0,47.7201558161086,1,False,False,914,4,3,0.007719516190491715,873.8554367938764
34.0,9.0,88.9984307544622,0.0,33.0,88.9984307544622,1,False,False,944,6,4,-0.011496134340694408,766.3380152625526
34.0,10.0,405.978985986564,1.0,33.0,405.978985986564,1,True,False,975,2,4,0.015168601086379851,592.2893963514878
34.0,11.0,437.015689191982,0.0,33.0,437.015689191982,1,False,False,1005,4,4,0.03556605330897278,518.3818761781823
45.0,0.0,101.419328854158,0.0,6.0,101.419328854158,0,False,False,1645,6,1,-0.10531526927910595,640.2936541815267
45.0,1.0,405.64567603039103,2.0,6.0,405.64567603039103,0,False,True,1676,2,1,-0.026673618173162605,904.2542611119449
45.0,2.0,63.9254430185616,1.0,6.0,63.9254430185616,0,True,False,1704,2,1,-0.014048070632439846,1097.3469287720518
45.0,3.0,410.827235302022,0.0,6.0,410.827235302022,1,False,False,1735,5,2,0.007698864182471343,1147.0915786931164
45.0,4.0,260.266178263007,2.0,6.0,260.266178263007,1,False,True,1765,0,2,0.023335511592469826,1115.7017958729334
45.0,5.0,118.832827130658,0.0,6.0,118.832827130658,1,False,False,1796,3,2,0.03390158607033644,989.7642626234353
45.0,6.0,175.431433987778,0.0,6.0,175.431433987778,1,False,False,1826,5,3,0.030271512217592944,613.8247547715507
45.0,7.0,168.36943669017,0.0,6.0,168.36943669017,1,False,False,1857,1,3,0.012516262802746647,791.0185442508342
45.0,8.0,354.479289858637,2.0,6.0,354.479289858637,1,False,True,1888,4,3,0.007719516190491715,873.8554367938714
45.0,9.0,486.17322053327104,1.0,6.0,486.17322053327104,1,True,False,1918,6,4,-0.011496134340694408,766.338015262547
45.0,10.0,133.373324954428,0.0,6.0,133.373324954428,1,False,False,1949,2,4,0.015168601086379851,592.2893963514804
45.0,11.0,157.430371810217,1.0,6.0,157.430371810217,1,True,False,1979,4,4,0.03556605330897278,518.381876178174
56.0,0.0,28.0746042037211,0.0,5.0,28.0746042037211,0,False,False,1675,6,1,-0.10531526927910595,640.2936541815199
56.0,1.0,35.2245881124948,0.0,5.0,35.2245881124948,0,False,False,1706,2,1,-0.026673618173162605,904.2542611119401
56.0,2.0,127.385326426816,0.0,5.0,127.385326426816,0,False,False,1734,2,1,-0.014048070632439846,1097.346928772048
56.0,3.0,492.968722514194,0.0,5.0,492.968722514194,0,False,False,1765,5,2,0.007698864182471343,1147.0915786931128
56.0,4.0,383.193611511072,2.0,5.0,383.193611511072,0,False,True,1795,0,2,0.023335511592469826,1115.7017958729296
56.0,5.0,190.213735032434,0.0,5.0,190.213735032434,0,False,False,1826,3,2,0.03390158607033644,989.7642626234309
56.0,6.0,272.529595196632,2.0,5.0,272.529595196632,0,False,True,1856,5,3,0.030271512217592944,613.8247547715437
56.0,7.0,167.182231836151,2.0,5.0,167.182231836151,1,False,True,1887,1,3,0.012516262802746647,791.0185442508288
56.0,8.0,299.537542162239,1.0,5.0,299.537542162239,1,True,False,1918,4,3,0.007719516190491715,873.8554367938665
56.0,9.0,18.1280361746495,1.0,5.0,18.1280361746495,1,True,False,1948,6,4,-0.011496134340694408,766.3380152625413
56.0,10.0,120.98292984699,2.0,5.0,120.98292984699,1,False,True,1979,2,4,0.015168601086379851,592.2893963514731
56.0,11.0,95.4395502124458,1.0,5.0,95.4395502124458,1,True,False,2009,4,4,0.03556605330897278,518.3818761781656
67.0,0.0,199.500319687263,2.0,29.0,199.500319687263,0,False,True,822,6,1,-0.10531526927910595,640.293654181513
67.0,1.0,177.122512014627,0.0,29.0,177.122512014627,0,False,False,853,2,1,-0.026673618173162605,904.2542611119353
67.0,2.0,439.896283156681,1.0,29.0,439.896283156681,0,True,False,881,2,1,-0.014048070632439846,1097.3469287720438
67.0,3.0,410.438878098596,0.0,29.0,410.438878098596,0,False,False,912,5,2,0.007698864182471343,1147.0915786931089
67.0,4.0,128.507622541221,2.0,29.0,128.507622541221,0,False,True,942,0,2,0.023335511592469826,1115.7017958729257
67.0,5.0,451.204848010032,1.0,29.0,451.204848010032,0,True,False,973,3,2,0.03390158607033644,989.7642626234265
67.0,6.0,181.112691560204,2.0,29.0,181.112691560204,0,False,True,1003,5,3,0.030271512217592944,613.8247547715366
67.0,7.0,444.672347889908,0.0,29.0,444.672347889908,0,False,False,1034,1,3,0.012516262802746647,791.0185442508232
67.0,8.0,51.228582847573904,2.0,29.0,51.228582847573904,0,False,True,1065,4,3,0.007719516190491715,873.8554367938615
67.0,9.0,307.150239233199,1.0,29.0,307.150239233199,0,True,False,1095,6,4,-0.011496134340694408,766.3380152625356
67.0,10.0,335.115866862947,0.0,29.0,335.115866862947,0,False,False,1126,2,4,0.015168601086379851,592.2893963514657
67.0,11.0,278.879556789627,2.0,29.0,278.879556789627,0,False,True,1156,4,4,0.03556605330897278,518.3818761781572
78.0,0.0,119.891961635674,2.0,40.0,119.891961635674,0,False,True,396,6,1,-0.10531526927910595,640.2936541815063
78.0,1.0,169.445852098041,2.0,40.0,169.445852098041,0,False,True,427,2,1,-0.026673618173162605,904.2542611119304
